fips,year,annual_max_score,lat,lon
1001,2000,6,32.536382,-86.64449
1003,2000,6,30.659218,-87.746067
1005,2000,6,31.87067,-85.405456
1007,2000,6,33.015893,-87.127148
1009,2000,6,33.977448,-86.567246
1011,2000,6,32.101759,-85.717261
1013,2000,6,31.751667,-86.681969
1015,2000,6,33.771706,-85.822513
1017,2000,6,32.917943,-85.391812
1019,2000,6,34.069515,-85.654242
1021,2000,6,32.85406,-86.726628
1023,2000,6,31.991008,-88.248887
1025,2000,6,31.685521,-87.818624
1027,2000,6,33.267809,-85.862051
1029,2000,6,33.671981,-85.516109
1031,2000,6,31.402183,-85.989201
1033,2000,6,34.703112,-87.801457
1035,2000,6,31.428293,-86.992029
1037,2000,6,32.931445,-86.243482
1039,2000,6,31.243987,-86.448721
1041,2000,6,31.732826,-86.319222
1043,2000,6,34.131923,-86.869267
1045,2000,6,31.430654,-85.609476
1047,2000,6,32.33354,-87.114356
1049,2000,6,34.460929,-85.803992
1051,2000,6,32.597229,-86.142739
1053,2000,6,31.121748,-87.168429
1055,2000,6,34.047638,-86.03442
1057,2000,6,33.732249,-87.752049
1059,2000,6,34.441988,-87.842815
1061,2000,6,31.090866,-85.824346
1063,2000,6,32.844497,-87.964201
1065,2000,6,32.752796,-87.623061
1067,2000,6,31.516978,-85.239971
1069,2000,6,31.158193,-85.296398
1071,2000,6,34.763522,-85.9774
1073,2000,6,33.553444,-86.896536
1075,2000,6,33.787085,-88.087431
1077,2000,6,34.904122,-87.650997
1079,2000,6,34.529776,-87.321865
1081,2000,6,32.604064,-85.353048
1083,2000,6,34.810239,-86.9814
1085,2000,6,32.147888,-86.650586
1087,2000,6,32.387027,-85.692887
1089,2000,6,34.764238,-86.55108
1091,2000,6,32.247591,-87.791091
1093,2000,6,34.138219,-87.881551
1095,2000,6,34.309564,-86.321668
1097,2000,6,30.684573,-88.196568
1099,2000,6,31.580332,-87.383266
1101,2000,6,32.203651,-86.203831
1103,2000,6,34.454484,-86.846402
1105,2000,6,32.639005,-87.293827
1107,2000,6,33.296809,-88.096878
1109,2000,6,31.798726,-85.941997
1111,2000,6,33.296475,-85.464068
1113,2000,6,32.289811,-85.18698
1115,2000,6,33.712963,-86.315663
1117,2000,6,33.262937,-86.678104
1119,2000,6,32.597481,-88.200057
1121,2000,6,33.369277,-86.175805
